epoch,accuracy,loss,val_accuracy,val_loss
0,0.7826250195503235,0.46226179599761963,0.874750018119812,0.302873432636261
1,0.8330625295639038,0.36825329065322876,0.8855000138282776,0.28113025426864624
2,0.8531875014305115,0.33517542481422424,0.8977500200271606,0.25499802827835083
3,0.8640000224113464,0.3172411620616913,0.903249979019165,0.23982685804367065
4,0.8687499761581421,0.30407091975212097,0.9010000228881836,0.24684305489063263
5,0.8730000257492065,0.2925463914871216,0.9037500023841858,0.240732342004776
6,0.8788750171661377,0.285063236951828,0.9022499918937683,0.2355368286371231
7,0.8794999718666077,0.27672064304351807,0.909250020980835,0.23064088821411133
8,0.8820624947547913,0.2736302316188812,0.9175000190734863,0.2135927826166153
9,0.8851875066757202,0.26538437604904175,0.9169999957084656,0.21703022718429565



Test_metrics,0.875432550907135,0.342983216047287
