epoch,accuracy,loss,val_accuracy,val_loss
0,0.8240162134170532,0.6651984453201294,0.9612742066383362,0.09013858437538147
1,0.9047470092773438,0.23281019926071167,0.970018744468689,0.08072985708713531
2,0.9141162037849426,0.2098492681980133,0.972517192363739,0.07124698162078857
3,0.9170830845832825,0.20195694267749786,0.9643972516059875,0.10240926593542099
4,0.9175515174865723,0.19830074906349182,0.9556527137756348,0.1065608412027359
5,0.923797607421875,0.18768766522407532,0.9737663865089417,0.0705876424908638
6,0.9272329807281494,0.17852893471717834,0.9731417894363403,0.06712180376052856
7,0.921923816204071,0.1818762570619583,0.972517192363739,0.06524192541837692



Test_metrics,0.977261483669281,0.06651819497346878
