epoch,accuracy,loss,val_accuracy,val_loss
0,0.875124990940094,0.294033020734787,0.8989999890327454,0.24948850274085999
1,0.9227499961853027,0.19004319608211517,0.9232500195503235,0.18885377049446106
2,0.9326249957084656,0.16062761843204498,0.9284999966621399,0.1708419770002365
3,0.945687472820282,0.13697755336761475,0.9190000295639038,0.21870744228363037
4,0.9505000114440918,0.12128788977861404,0.9262499809265137,0.19152353703975677
5,0.960687518119812,0.09925509989261627,0.9334999918937683,0.1750737577676773



Test_metrics,0.9041028022766113,0.3163083791732788
