epoch,accuracy,loss,val_accuracy,val_loss
0,0.6945624947547913,0.8477329611778259,0.8445000052452087,0.3834366202354431
1,0.7580000162124634,0.47178223729133606,0.8777499794960022,0.3177216351032257
2,0.7901874780654907,0.44190216064453125,0.8792499899864197,0.3018748462200165
3,0.8054375052452087,0.41775521636009216,0.8679999709129333,0.29314059019088745
4,0.8083124756813049,0.4114533066749573,0.8784999847412109,0.27787089347839355
5,0.8124374747276306,0.40048837661743164,0.8640000224113464,0.2934107184410095
6,0.8131250143051147,0.39922991394996643,0.8927500247955322,0.2640588581562042
7,0.8184999823570251,0.3900119662284851,0.8504999876022339,0.30661630630493164
8,0.8153125047683716,0.39069223403930664,0.8882499933242798,0.2599288821220398
9,0.823437511920929,0.38094019889831543,0.862500011920929,0.3173287510871887



Test_metrics,0.8838359117507935,0.30097517371177673
