epoch,accuracy,loss,val_accuracy,val_loss
0,0.6855000257492065,0.8060296177864075,0.8337500095367432,0.38580062985420227
1,0.7613750100135803,0.4930615723133087,0.8535000085830688,0.33483561873435974
2,0.7852500081062317,0.44830378890037537,0.8627499938011169,0.3207697570323944
3,0.7935000061988831,0.43697360157966614,0.8610000014305115,0.3832317888736725
4,0.807937502861023,0.4095142185688019,0.8794999718666077,0.27953702211380005
5,0.8107500076293945,0.40855085849761963,0.8744999766349792,0.2882649302482605



Test_metrics,0.8927335739135742,0.29637423157691956
