epoch,accuracy,loss,val_accuracy,val_loss
0,0.8144909143447876,2.7269277572631836,0.9138038754463196,1.0419001579284668
1,0.8543097972869873,0.8331189155578613,0.9419112801551819,0.2330731749534607
2,0.8638350963592529,0.37382248044013977,0.9462835788726807,0.16852276027202606
3,0.8816365003585815,0.2856661081314087,0.9531542658805847,0.15294533967971802
4,0.8897563815116882,0.24953106045722961,0.9550281167030334,0.1357457935810089
5,0.898500919342041,0.24328885972499847,0.9500312209129333,0.13876457512378693
6,0.9061524271965027,0.23006398975849152,0.9587757587432861,0.10793408751487732
7,0.9027170538902283,0.22186312079429626,0.9556527137756348,0.1144210621714592



Test_metrics,0.9555116295814514,0.10989168286323547
