epoch,accuracy,loss,val_accuracy,val_loss
0,0.6766250133514404,2.0552332401275635,0.7572500109672546,0.5768882036209106
1,0.7390000224113464,0.5385240316390991,0.8102499842643738,0.434032678604126
2,0.7703750133514404,0.48991355299949646,0.8274999856948853,0.40112754702568054
3,0.7761874794960022,0.4730813801288605,0.8392500281333923,0.38408762216567993
4,0.7805625200271606,0.464108407497406,0.765999972820282,0.5697280168533325
5,0.7866250276565552,0.45616066455841064,0.8362500071525574,0.39183199405670166
6,0.7878749966621399,0.44720780849456787,0.8245000243186951,0.39695996046066284
7,0.7961875200271606,0.4443463981151581,0.8297500014305115,0.39735427498817444



Test_metrics,0.8833415508270264,0.29031193256378174
